Equipment Number,Part,Date,Start Time,Finish Time,Stopped Time(min),Stopped Time(hour),Cause of Failure,Failure Handling,MTTR,MTBF,Failure Strength Ratio,Price Weighting by Part,Risk Likelihood,Risk Impact
Unit 7,heating furnace,06/24,16:30:00,17:40:00,70,1.2,Billet SAW withdrawal C/V,Repair after operation fire conveyor fire,1.73,139.4,1.24,0.25,3.000645624,3.343365483
Unit 7,heating furnace,08/10,15:00:00,15:15:00,15,0.2,Request to shorten heating time for induction heater unit 7,Induction heating and cooling timer time adjustment,0.74,42.9,1.72,0.25,10,3.095865483
Unit 7,heating furnace,09/30,08:45:00,20:00:00,675,11.3,Induction heater temperature overheating furnace,"Billet recording OP TIC defective, replace with spare part",2.94,75.6,3.89,0.25,5,3.645865483
Unit 7,heating furnace,09/30,20:40:00,21:00:00,20,0.3,Induction heater temperature overheating alarm,Actions after recovering from a summer start trip,2.94,75.6,3.89,0.25,5,3.645865483
Unit 7,heating furnace,09/30,08:45:00,20:00:00,675,11.3,"The billet in the induction heater melts and flows, making the pusher and thermocouple unable to move forward/reverse.",Melt and remove billet using oxygen and replace roller bearings,1.7,34.4,4.95,0.25,10.98837209,3.335865483
Unit 7,heating furnace,09/30,20:40:00,21:00:00,20,0.3,Alarm occurs due to COIL overtemperature,Normal operation after recovery with Summer Start TRIP,1.7,34.4,4.95,0.25,10.98837209,3.335865483
Unit 7,heating furnace,10/18,13:50:00,14:20:00,30,0.5,COIL OVER TEMP ALARM.,Normal operation after release with THERMOCOUPLE TRIP,0.74,28.4,2.59,0.25,14.01408451,3.095865483
Unit 7,heating furnace,10/31,19:35:00,21:00:00,85,1.4,Induction heater unit 7 E/V MOTOR COIL burnt out,"Induction heater unit 7 E/V MOTOR (440V, 1HP) replacement",0.74,28.4,2.59,0.25,14.01408451,3.095865483
Unit 7,heating furnace,10/31,09:00:00,09:15:00,15,0.3,Coil temperature rise alarm occurs.,Alarm is cleared after resetting the thermostat contact point.,0.74,28.4,2.59,0.25,14.01408451,3.095865483
Unit 7,heating furnace,10/18,02:55:00,03:00:00,5,0.1,Induction heater cannot be heated,Compensation conductor disconnection repair,0.74,28.4,2.59,0.25,14.01408451,3.095865483
Unit 7,heating furnace,10/06,15:00:00,15:15:00,15,0.2,Billet temperature controller replacement work.,DX9 replacement and program setup work.,0.74,28.4,2.59,0.25,14.01408451,3.095865483
Unit 7,heating furnace,09/22,14:23:00,14:35:00,12,0.2,Thermometer air speed valve needs replacement,Speed ​​valve replacement work,7.86,94.8,1.58,0.25,4,4.875865483
Unit 7,heating furnace,11/26,14:20:00,14:55:00,35,0.6,"Billet cutter groove digging
Lower motor cannot be driven",Normal operation after reset of lower motor THR trip phenomenon,6.3,79.8,1.4,0.25,4.999749373,4.485865483
Unit 7,fuller,02/17,02:40:00,03:30:00,50,0.8,Tremor phenomenon when moving the puller,Rail and puller body roller adjustment work,7.13,123.5,5.77,0.09,3.000566802,1.689611574
Unit 7,fuller,05/18,20:00:00,21:30:00,90,1.5,Puller DC motor overheating,Work after cooling (operator carelessness),1.7,72.8,2.34,0.09,4.999175824,1.200911574
Unit 7,fuller,05/19,01:30:00,04:30:00,180,3,Puller DC motor overheating,Work after cooling (operator carelessness),1.7,72.8,2.34,0.09,4.999175824,1.200911574
Unit 7,fuller,06/18,02:56:00,03:46:00,50,0.8,Crack in puller rail connection area,Welding after finishing the rail crack area,1.73,139.4,1.24,0.09,3.000645624,1.203611574
Unit 7,fuller,07/16,09:15:00,10:30:00,75,1.3,puller jaw up down,Repair of damaged connecting links,1.3,405.5,0.32,0.09,1.000049322,1.164911574
Unit 7,fuller,08/10,02:20:00,02:40:00,20,0.3,Stuck during puller jaw down,Operation Power Current Collector Brush Replacement Operation,0.74,42.9,1.72,0.09,10,1.114511574
Unit 7,fuller,08/20,10:00:00,11:30:00,90,1.5,Puller TROY opens and stops during operation.,Puller motor cylinder part replacement,7,77.6,3.89,0.09,4.99806701,1.677911574
Unit 7,fuller,11/08,04:23:00,05:03:00,40,0.7,Fuller freeze phenomenon,"Fuller SLOW detection photo sensor when moving forward/reverse
undetectable
- Sensitivity adjustment after replacing the photo sensor (BEN300-DDT)",6.3,79.8,1.4,0.09,4.999749373,1.614911574
Unit 7,Hasso,04/07,12:00:00,12:20:00,20,0.3,HOT SAW LIFT not operating,Air solenoid valve replacement work,0.45,181.2,0.25,0.1,1.999558499,1.209346193
Unit 7,back side,08/12,01:30:00,03:00:00,90,1.5,Butt knocker fastening bolt broken,Fasten after removing bolt,0.74,42.9,1.72,0.15,10,1.85751929
Unit 7,back side,08/18,11:10:00,11:28:00,18,0.3,Damaged butt shaft cylinder seamless pipe,Crack replacement,0.74,42.9,1.72,0.15,10,1.85751929
Unit 7,back side,08/18,11:39:00,12:10:00,31,0.5,Photo sensor wiring deterioration and burnout,Flexible wiring disconnection repair,0.74,42.9,1.72,0.15,10,1.85751929
Unit 7,back side,08/23,03:00:00,03:20:00,20,0.3,Cutting bet conveyor belt does not run,Key and cap fastening work,0.74,42.9,1.72,0.15,10,1.85751929
Unit 7,back side,09/29,18:20:00,18:30:00,10,0.2,RUNOUT C/V DOWN operation does not work intermittently,RUNOUT C/V UP/DOWN Selector S/W,1.7,34.4,4.95,0.15,10.98837209,2.00151929
Unit 7,back side,09/09,16:20:00,17:00:00,40,0.7,Gauge C/V does not operate at low speed during automatic operation.,It operates normally after replacing with a spare cable.,1.7,34.4,4.95,0.15,10.98837209,2.00151929
Unit 7,back side,09/21,22:55:00,23:11:00,16,0.3,Mainsha nisbul damaged and leaking oil,Mainsha nisbul damaged oil leak replacement,1.7,34.4,4.95,0.15,10.98837209,2.00151929
Unit 7,back side,09/02,12:30:00,13:30:00,60,1,Loader hydraulic pipe crack,Loader hydraulic pipe crack welding repair,1.7,34.4,4.95,0.15,10.98837209,2.00151929
Unit 7,back side,10/31,10:28:00,11:50:00,82,1.4,Inspection request due to gauge head not moving forward/reverse.,Cable bear side MOTOR single phase jammed.,0.74,28.4,2.59,0.15,14.01408451,1.85751929
Unit 7,back side,10/17,09:30:00,10:05:00,35,0.6,"MID TEMP C/V does not start, request inspection","110V MC-22 (1EA) replacement, Inverter 440V 5HP (1EA) replacement.",0.74,28.4,2.59,0.15,14.01408451,1.85751929
Unit 7,back side,10/01,15:45:00,16:30:00,45,0.8,P.H IN FEED V/T C/V operation not possible,"Inverter (SV004IG5A-4 →SV008IG5A-4)
Recovery after replacement",0.74,28.4,2.59,0.15,14.01408451,1.85751929
Unit 7,back side,10/21,22:00:00,23:00:00,60,1,"Powerhead manual forward/backward movement is possible, but when calibrating the product
Stretcher does not work","Tail head correct position detection, proximity sensor fixing bracket bending
Recovery after correction of bracket due to poor detection",0.74,28.4,2.59,0.15,14.01408451,1.85751929
Unit 7,back side,10/01,16:40:00,16:55:00,15,0.2,Video monitor screen not working,P.H upper wireless transmitter position misalignment readjusted,0.74,28.4,2.59,0.15,14.01408451,1.85751929
Unit 7,back side,10/27,10:25:00,10:50:00,25,0.4,SAWFEED C/V operation of cutting unit 7 is not possible,"CLAMP guide cylinder
Recovery after applying lubricant with foreign substances",0.74,28.4,2.59,0.15,14.01408451,1.85751929
Unit 7,back side,10/24,09:20:00,09:30:00,10,0.2,GAUGE HEAD forward/backward operation not possible,Recovery after detection of B/K open proximity sensor,0.74,28.4,2.59,0.15,14.01408451,1.85751929
Unit 7,back side,08/19,21:00:00,21:30:00,30,0.5,Jjoldae insertion does not work,Normal operation after processing the area due to bracket interference,7,77.6,3.89,0.15,4.99806701,2.79651929
Unit 7,back side,09/26,17:00:00,21:00:00,240,4,Billet moving conveyor chain broken,Chain replacement and repair work,7.86,94.8,1.58,0.15,4,2.92551929
Unit 7,back side,09/27,05:02:00,06:00:00,58,1,"Billet transfer conveyor
Guide jamming phenomenon",Sprocket deflection correction and welding work,7.86,94.8,1.58,0.15,4,2.92551929
Unit 7,back side,10/29,23:30:00,23:40:00,10,0.2,Cutting machine servo alarm occurs,Normal operation after alarm recovery,34.83,192.3,0.08,0.15,1.999687988,6.97101929
Unit 7,back side,11/19,02:05:00,03:23:00,78,1.3,Crossover C/V not working,Tightening cylinder fixing bolts and replacing air Sol V/V,6.3,79.8,1.4,0.15,4.999749373,2.69151929
Unit 7,etc,09/13,13:40:00,15:10:00,90,1.5,Request for inspection due to slow temperature rise,Scheduled to be replaced after materials are received. Currently in temporary use.,1.7,34.4,4.95,0.06,10.98837209,0.800607716
Unit 7,etc,09/03,07:00:00,07:30:00,30,0.5,The podium is blocked due to the old age of the celebrant.,Normal operation after replacement of current collector 3EA,1.7,34.4,4.95,0.06,10.98837209,0.800607716
Unit 8,extruder,01/14,16:46:00,18:30:00,104,1.7,Aunt pump chain coupler damaged,Replacement with spare parts,1.6,70.7,2.26,0.35,6.00311174,4.635211677
Unit 8,extruder,02/19,13:50:00,15:15:00,85,1.4,Hydraulic block oil leak,Valve controller valve O-ring replacement work,1.45,215.4,0.67,0.35,2.000232126,4.582711677
Unit 8,extruder,04/01,13:50:00,14:35:00,45,0.8,container piping leak,Welding after removal of pipe cracks,1.2,57.8,2.07,0.35,6.00432526,4.495211677
Unit 8,extruder,04/02,22:05:00,23:08:00,63,1.1,Main pipe leak,Welding after removing pipe cracks,1.2,57.8,2.07,0.35,6.00432526,4.495211677
Unit 8,extruder,05/09,20:10:00,21:05:00,55,0.9,Container piping crack leak,Piping adverse welding work,1.28,87.4,1.46,0.35,4.00194508,4.523211677
Unit 8,extruder,05/27,19:16:00,21:40:00,144,2.4,Billet loader not operating,Normal operation after pressure setting,1.28,87.4,1.46,0.35,4.00194508,4.523211677
Unit 8,extruder,05/27,15:55:00,16:40:00,45,0.8,Buttsha auxiliary pipe leak,Welding work after separating pipes,1.28,87.4,1.46,0.35,4.00194508,4.523211677
Unit 8,extruder,05/31,08:30:00,09:30:00,60,1,Container cylinder rod side leakage,Rod V-PACKING replacement work,1.28,87.4,1.46,0.35,4.00194508,4.523211677
Unit 8,extruder,08/09,14:52:00,16:30:00,98,1.6,Trans Bear Chain Flyer,chain replacement work,1.36,42.5,3.2,0.35,10.01152941,4.551211677
Unit 8,extruder,08/10,04:12:00,06:20:00,128,2.1,Main side pipe crack,Welding and repairing leaks,1.36,42.5,3.2,0.35,10.01152941,4.551211677
Unit 8,extruder,08/22,08:40:00,09:00:00,20,0.3,Sha rises/descends during automatic operation,"After inspecting the PLC twice, request inspection of the machine tool.",1.36,42.5,3.2,0.35,10.01152941,4.551211677
Unit 8,extruder,08/25,02:50:00,04:00:00,70,1.2,Side high pressure bagona crack,Welding work after separating pipes,1.36,42.5,3.2,0.35,10.01152941,4.551211677
Unit 8,extruder,08/26,21:00:00,23:30:00,150,2.5,Main side and container cylinder leakage,V/P replacement work,1.36,42.5,3.2,0.35,10.01152941,4.551211677
Unit 8,extruder,09/01,21:42:00,00:30:00,168,2.8,Tightening work by loosening dummy bolts,No dummy replacement due to screw wear,1.2,91.9,1.31,0.35,4,4.495211677
Unit 8,extruder,09/02,13:30:00,14:00:00,30,0.5,Mainsha lift hydraulic pipe full range,Welding after removal of leaking welding area,1.2,91.9,1.31,0.35,4,4.495211677
Unit 8,extruder,09/10,09:20:00,10:30:00,70,1.2,container cylinder oil leak,Container cylinder rod packing replacement work,1.2,91.9,1.31,0.35,4,4.495211677
Unit 8,extruder,09/01,21:42:00,00:30:00,168,2.8,Deformation of dummy and loosening of stemless fastening bolts,Deformation of dummy and loosening and tightening of stemless fastening bolts,0.95,46,2.07,0.35,7.991304348,4.407711677
Unit 8,extruder,09/02,12:30:00,14:00:00,90,1.5,Main shaft rising hydraulic pipe flange crack leak,Main shaft rising hydraulic pipe flange crack welding,0.95,46,2.07,0.35,7.991304348,4.407711677
Unit 8,extruder,09/08,22:15:00,22:28:00,13,0.2,"After lowering the main shaft, repeat the rise/fall several times and then stop in the descending state.",Detection of main shaft lowering completion. Normal operation after L/S replacement.,0.95,46,2.07,0.35,7.991304348,4.407711677
Unit 8,extruder,09/08,21:11:00,21:50:00,39,0.7,Main Sha UP operation is disabled due to inability to detect Butt Knocker L/S.,1. Knocker UP detection L/S (BL3) replacement,0.95,46,2.07,0.35,7.991304348,4.407711677
Unit 8,extruder,09/08,19:13:00,19:30:00,17,0.3,Butt knocker rise detection limit S/W detection rod deviation request inspection,Replace the detection rod.,0.95,46,2.07,0.35,7.991304348,4.407711677
Unit 8,extruder,09/09,00:15:00,00:20:00,5,0.1,Container cannot move forward after raising the main shaft,Mainsha lowering L/S not restored →L/S replaced,0.95,46,2.07,0.35,7.991304348,4.407711677
Unit 8,extruder,09/10,09:20:00,10:30:00,70,1.2,container cylinder oil leak,Container cylinder leak V packing replacement,0.95,46,2.07,0.35,7.991304348,4.407711677
Unit 8,extruder,09/20,09:15:00,10:00:00,45,0.8,Nitrogen gas cannot be supplied during extrusion operation of extrusion unit 8.,Repair of wire disconnection by reconnection due to rat in underground bit box,0.95,46,2.07,0.35,7.991304348,4.407711677
Unit 8,extruder,10/08,08:50:00,10:00:00,70,1.2,Container center is distorted,Container center distortion customization work,1.75,95.1,1.84,0.35,3.997896951,4.687711677
Unit 8,extruder,10/10,08:30:00,13:00:00,270,4.5,Shinyang 2 100HP compressor water inflow,Cleaning and Part Replacement,1.75,95.1,1.84,0.35,3.997896951,4.687711677
Unit 8,extruder,11/28,08:30:00,11:07:00,157,2.6,Damaged loader plate fastening bolt,"After removing the damage to the loader plate fastening bolt, fasten it.",3.23,145.1,2.23,0.35,3,5.205711677
Unit 8,extruder,11/23,03:30:00,10:00:00,390,6.5,Broken auxiliary pump coupler,Replace broken auxiliary pump coupler,3.23,145.1,2.23,0.35,3,5.205711677
Unit 8,extruder,08/08,17:10:00,17:30:00,20,0.3,Billet push air cylinder check valve stopper removal,Fixing of breakaway part,3.16,39,1.31,0.35,9.998974359,5.181211677
Unit 8,extruder,08/13,00:20:00,00:30:00,10,0.2,Container sealing and hydraulic hose damage,Sealing and hydraulic hose replacement,3.16,39,1.31,0.35,9.998974359,5.181211677
Unit 8,extruder,08/18,13:30:00,14:00:00,30,0.5,Butt knocker air cylinder bracket damaged,Welding work on the relevant area,3.16,39,1.31,0.35,9.998974359,5.181211677
Unit 8,extruder,08/21,00:13:00,01:00:00,17,0.3,Main ram/container cannot move forward or backward,Normal operation while checking forward and backward movement several times.,3.16,39,1.31,0.35,9.998974359,5.181211677
Unit 8,extruder,08/21,02:23:00,03:10:00,47,0.8,Main ram/container cannot move forward or backward,"p1,p2 hydraulic relay replacement",3.16,39,1.31,0.35,9.998974359,5.181211677
Unit 8,extruder,08/25,20:05:00,21:40:00,70,1.2,Oil leakage due to wear of container packing,Replace the packing in the relevant area,3.16,39,1.31,0.35,9.998974359,5.181211677
Unit 8,extruder,10/13,15:53:00,16:55:00,62,1,Butt knocker up operation not possible,Reinstall the cylinder rod fasteners,70.48,362.9,0.28,0.35,0.900716451,28.74321168
Unit 8,extruder,11/24,02:05:00,13:50:00,20,0.3,Main intermediate pipe damaged,Welding work on damaged areas,4.37,57.9,1.41,0.35,7.003799655,5.604711677
Unit 8,heating furnace,01/27,10:32:00,12:30:00,118,2,Billet Cutting Machine Shaft Shear,Processing and assembly after partial welding (outsourcing),1.6,70.7,2.26,0.25,6.00311174,3.310865483
Unit 8,heating furnace,02/24,13:30:00,15:00:00,90,1.5,ACB replacement work for induction,Replacement work according to replacement period,1.45,215.4,0.67,0.25,2.000232126,3.273365483
Unit 8,heating furnace,04/18,16:30:00,19:00:00,150,2.5,Check that induction VS is not ON,Pusher reversing limit detection not confirmed,1.2,57.8,2.07,0.25,6.00432526,3.210865483
Unit 8,heating furnace,,15:15:00,15:30:00,15,0.3,Request to shorten heating time for induction heater unit 7,Induction heating and cooling timer time adjustment,1.36,42.5,3.2,0.25,10.01152941,3.250865483
Unit 8,heating furnace,08/23,17:10:00,17:28:00,15,0.3,Check billet temperature abnormalities,Normal operation after correcting the thermocouple position,3.16,39,1.31,0.25,9.998974359,3.700865483
Unit 8,heating furnace,08/25,10:35:00,10:50:00,5,0.1,Induction heater L/S damaged,Normal operation after L/S replacement,3.16,39,1.31,0.25,9.998974359,3.700865483
Unit 8,heating furnace,08/28,20:30:00,21:30:00,5,0.1,Check for abnormal billet detection sensor,"Sensor BM3M-TDT 1,2 replacement",3.16,39,1.31,0.25,9.998974359,3.700865483
Unit 8,heating furnace,11/16,02:05:00,00:30:00,20,0.3,HV4 cannot operate due to R-phase TRIP,"Induction heater panel twin timer time
Normal operation after readjustment",4.37,57.9,1.41,0.25,7.003799655,4.003365483
Unit 8,fuller,03/04,19:45:00,19:55:00,10,0.2,Puller tray not operating,Limit switch adjustment work,0.2,252.3,0.08,0.09,1.999643282,1.065911574
Unit 8,fuller,03/21,09:00:00,09:10:00,10,0.2,Puller encoder coupling broken,Replacement work with coupling spare parts,0.2,252.3,0.08,0.09,1.999643282,1.065911574
Unit 8,fuller,04/29,22:36:00,00:20:00,104,1.7,puller wire rope shear,Replacement work with rope spare parts,1.2,57.8,2.07,0.09,6.00432526,1.155911574
Unit 8,fuller,07/07,20:24:00,22:00:00,96,1.6,Puller rail joint shear,Welding work after rail correction,3.8,202.4,1.88,0.09,1.999604743,1.389911574
Unit 8,fuller,11/13,02:05:00,12:00:00,149,2.5,Damage to operating shaft and connecting rod,Welding after new processing of damaged area,4.37,57.9,1.41,0.09,7.003799655,1.441211574
Unit 8,Hasso,08/27,23:27:00,23:45:00,18,0.3,bad touch screen,Normal operation after checking the photo sensor cable on the inlet side,1.36,42.5,3.2,0.1,10.01152941,1.300346193
Unit 8,back side,01/19,06:40:00,07:40:00,60,1,This Chaju Conveyor UP/DOWN,不 Freezing of moisture in the air due to cold weather,1.6,70.7,2.26,0.15,6.00311174,1.98651929
Unit 8,back side,01/20,03:00:00,03:20:00,20,0.3,This Chaju Conveyor UP/DOWN,不 Freezing of moisture in the air due to cold weather,1.6,70.7,2.26,0.15,6.00311174,1.98651929
Unit 8,back side,04/06,15:40:00,16:00:00,20,0.3,Puller encoder coupler wear,Carpooler replacement work,1.2,57.8,2.07,0.15,6.00432526,1.92651929
Unit 8,back side,04/18,15:10:00,16:00:00,50,0.8,Straightener main cable short circuit,Partial cable replacement work,1.2,57.8,2.07,0.15,6.00432526,1.92651929
Unit 8,back side,06/13,09:20:00,09:55:00,35,0.6,Power head jaw not lowered,PLC card relay burnout contact position adjustment,0.6,404.9,0.15,0.15,0.831563349,1.83651929
Unit 8,back side,07/09,09:00:00,15:00:00,360,6,Stekka Genchury Burek Breakdown,In use of bladder improvement (pad replacement),3.8,202.4,1.88,0.15,1.999604743,2.31651929
Unit 8,back side,08/04,08:30:00,12:25:00,235,3.9,GANTRY T/V not working,GANTRY T/V inverter I/O alarm cannot be cleared Replace inverter (i7 2.2KW),1.36,42.5,3.2,0.15,10.01152941,1.95051929
Unit 8,back side,08/06,20:00:00,20:40:00,40,0.7,SAW FEED C/V Only operates at low speed due to damaged encoder,Normal operation after replacement of E50S8-200-3-T-24 (1EA),1.36,42.5,3.2,0.15,10.01152941,1.95051929
Unit 8,back side,08/19,09:06:00,09:50:00,44,0.7,Transformer bearing damage,bearing replacement,1.36,42.5,3.2,0.15,10.01152941,1.95051929
Unit 8,back side,10/17,16:00:00,16:20:00,20,0.3,T.H Request for inspection due to abnormal low and high speed operation.,Origin detection proximity sensor replacement.PRL30-15DN(1EA),1.75,95.1,1.84,0.15,3.997896951,2.00901929
Unit 8,back side,10/20,12:30:00,13:30:00,60,1,Stacker tension bolt damaged,Replacement and fastening of damaged stacker tension bolts,1.75,95.1,1.84,0.15,3.997896951,2.00901929
Unit 8,back side,11/19,03:10:00,03:45:00,35,0.6,Automatic operation is disabled due to operator negligence during puller work.,"AT HOME POSITION After cutting the flexible and deteriorated part due to wire deterioration and disconnection, reconnection recovery",3.23,145.1,2.23,0.15,3,2.23101929
Unit 8,back side,08/20,17:07:00,18:35:00,88,1.5,Runout table cylinder bracket broken,"After fixing the cylinder rod, tap processing and bolt replacement",3.16,39,1.31,0.15,9.998974359,2.22051929
Unit 8,back side,09/11,17:00:00,19:35:00,155,2.6,Stecca touch does not work,"Replacement of touch communication card (xp-70, KGL-C42A) and change of communication from RS-232 to RS-422",7.92,127.8,0.83,0.15,2.999843505,2.93451929
Unit 8,back side,09/11,08:30:00,08:50:00,20,0.3,Runout conveyor inoperable,"Inverter board alarm occurs after alarm reset
in normal operation",7.92,127.8,0.83,0.15,2.999843505,2.93451929
Unit 8,back side,11/14,02:05:00,04:00:00,20,0.3,"Touch screen due to communication error
inoperable",Normal operation after power reboot,4.37,57.9,1.41,0.15,7.003799655,2.40201929
Unit 8,back side,11/18,02:05:00,07:50:00,65,1.1,Corrector tail head power failure,"Short circuit occurs due to defective cable bare power line
Reconnection recovery work for disconnected wires",4.37,57.9,1.41,0.15,7.003799655,2.40201929
Unit 8,back side,11/18,02:05:00,02:50:00,12,0.2,"Fuller, handling stops entirely.","Main breaker power failure, for handling power
Circuit breaker trip recovery",4.37,57.9,1.41,0.15,7.003799655,2.40201929
Unit 8,back side,11/25,02:05:00,09:25:00,55,0.9,Runout C/V operation not possible,"The lock nut gets stuck while the roller is running.
Reassembly and commissioning completed",4.37,57.9,1.41,0.15,7.003799655,2.40201929
Unit 8,etc,09/24,09:00:00,09:15:00,15,0.3,OP panel touch communication lost,Normal operation after changing PLC communication channel,7.92,127.8,0.83,0.06,2.999843505,1.173807716
